wl,n
0.2066,1.243
0.2101,1.235
0.2138,1.231
0.2175,1.225
0.2214,1.227
0.2254,1.228
0.2296,1.226
0.2339,1.228
0.2384,1.230
0.2431,1.231
0.2480,1.235
0.2530,1.248
0.2583,1.266
0.2638,1.291
0.2695,1.321
0.2755,1.374
0.2818,1.427
0.2883,1.473
0.2952,1.504
0.3024,1.536
0.3100,1.571
0.3179,1.615
0.3263,1.655
0.3351,1.668
0.3444,1.642
0.3542,1.610
0.3647,1.590
0.3757,1.576
0.3875,1.568
0.3999,1.569
0.4133,1.559
0.4275,1.530
0.4428,1.486
0.4592,1.457
0.4769,1.266
0.4959,0.8564
0.5166,0.5020
0.5391,0.3290
0.5636,0.2452
0.5904,0.1823
0.6199,0.1357
0.6525,0.1091
0.6888,0.08524
0.7293,0.07661
0.7749,0.07883
0.8266,0.08019
0.8856,0.08700
0.9537,0.09440
1.033,0.1018
1.127,0.1098
1.240,0.1351
1.305,0.1324
1.378,0.1488
1.459,0.1677
1.550,0.1898
1.653,0.1864
1.771,0.2159
1.907,0.2514
2.066,0.2965
2.254,0.3542
2.480,0.4296
2.755,0.5293
3.100,0.5591
3.542,0.7358
4.133,1.004
4.959,1.448
6.199,2.264
8.266,4.018
12.40,8.964

wl,k
0.2066,1.151
0.2101,1.182
0.2138,1.210
0.2175,1.245
0.2214,1.279
0.2254,1.311
0.2296,1.346
0.2339,1.381
0.2384,1.415
0.2431,1.458
0.2480,1.502
0.2530,1.555
0.2583,1.607
0.2638,1.657
0.2695,1.710
0.2755,1.757
0.2818,1.780
0.2883,1.792
0.2952,1.798
0.3024,1.813
0.3100,1.830
0.3179,1.830
0.3263,1.816
0.3351,1.778
0.3444,1.751
0.3542,1.755
0.3647,1.780
0.3757,1.801
0.3875,1.824
0.3999,1.839
0.4133,1.825
0.4275,1.811
0.4428,1.797
0.4592,1.736
0.4769,1.560
0.4959,1.629
0.5166,1.853
0.5391,2.249
0.5636,2.569
0.5904,2.880
0.6199,3.204
0.6525,3.529
0.6888,3.871
0.7293,4.242
0.7749,4.630
0.8266,5.050
0.8856,5.517
0.9537,6.038
1.033,6.633
1.127,7.332
1.240,8.142
1.305,8.613
1.378,9.141
1.459,9.72
1.550,10.35
1.653,11.08
1.771,11.93
1.907,12.89
2.066,14.00
2.254,15.30
2.480,16.86
2.755,18.72
3.100,21.09
3.542,24.20
4.133,28.27
4.959,33.95
6.199,42.43
8.266,56.47
12.40,84.09
